side_a_device;side_a_type;side_a_name;side_b_device;side_b_type;side_b_name;type;status;color;length;length_unit;description;description
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/1;KR-PRV-PPAN-5;dcim.interface;1;CAT6a;planned;;;m;;
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/2;KR-PRV-PPAN-5;dcim.interface;1;CAT6a;planned;;;m;->;KG AP
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/3;KR-PRV-PPAN-5;dcim.interface;3;CAT6a;planned;;;m;->;EG AP
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/4;KR-PRV-PPAN-5;dcim.interface;5;CAT6a;planned;;;m;->;OG AP
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/5;;dcim.interface;;CAT6a;planned;;;m;->;Gira X1
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/6;KR-PRV-PPAN-5;dcim.interface;2;CAT6a;planned;;;m;->;KG Gira G1
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/7;KR-PRV-PPAN-5;dcim.interface;4;CAT6a;planned;;;m;->;EG Gira G1
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/8;KR-PRV-PPAN-5;dcim.interface;6;CAT6a;planned;;;m;->;OG Gira G1
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/9;;dcim.interface;;CAT6a;planned;;;m;->;
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/10;;dcim.interface;;CAT6a;planned;;;m;->;
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/11;;dcim.interface;;CAT6a;planned;;;m;->;Alarm
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/12;;dcim.interface;;CAT6a;planned;;;m;->;Alarm Recorder
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/13;;dcim.interface;;CAT6a;planned;;;m;->;Alarm Recorder
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/14;KR-PRV-PPAN-5;dcim.interface;7;CAT6a;planned;;;m;->;AB Kamera Garage
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/15;KR-PRV-PPAN-5;dcim.interface;8;CAT6a;planned;;;m;->;AB Kamera
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/16;KR-PRV-PPAN-5;dcim.interface;9;CAT6a;planned;;;m;->;AB Kamera
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/17;KR-PRV-PPAN-5;dcim.interface;10;CAT6a;planned;;;m;->;AB Kamera
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/18;KR-PRV-PPAN-5;dcim.interface;11;CAT6a;planned;;;m;->;AB Kamera
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/19;KR-PRV-PPAN-5;dcim.interface;12;CAT6a;planned;;;m;->;AB Kamera
KR-PRV-SW-1;dcim.interface;GigabitEthernet1/0/20;KR-PRV-PPAN-5;dcim.interface;13;CAT6a;planned;;;m;->;AB Kamera
